timestamps,TP9,AF7,AF8,TP10,Right AUX
1573890395,164.062,6.348,-937.988,218.75,812.012
1573890395,66.406,7.324,-323.73,-7.324,-270.508
1573890395,28.32,10.254,-1000,-68.848,-817.383
1573890395,123.047,11.23,206.055,150.879,32.227
1573890395,173.34,5.859,-764.648,255.371,959.473
1573890395,84.961,7.812,107.91,53.711,73.242
1573890395,18.555,19.043,-1000,-85.938,-814.453
1573890395,81.055,13.184,-168.457,82.52,-285.645
1573890395,153.32,7.324,-770.508,243.652,881.836
1573890395,97.168,13.184,390.137,105.957,424.316
1573890395,6.836,10.742,-1000,-83.496,-671.875
1573890395,45.898,9.277,-413.086,17.578,-524.902
1573890395,142.578,17.578,-908.691,228.027,631.348
1573890395,121.094,21.484,809.57,169.922,694.824
1573890395,17.578,11.719,-696.289,-56.152,-415.039
1573890395,17.09,7.812,-906.25,-43.945,-721.191
1573890395,120.605,7.324,579.59,186.035,297.363
1573890395,134.766,2.93,-861.816,217.773,870.605
1573890395,25.391,6.348,-163.086,-8.301,-217.773
1573890395,-14.648,9.277,-1000,-78.125,-875
1573890395,71.777,7.324,-33.691,120.605,-41.016
1573890395,123.535,4.883,-760.254,230.957,968.75
1573890395,50.781,11.23,220.703,63.965,215.332
1573890395,-21.484,13.184,-1000,-88.379,-744.141
1573890395,37.598,10.742,-224.121,54.199,-348.145
1573890395,124.023,13.672,-780.762,231.934,834.473
1573890395,83.496,8.789,438.477,116.699,491.211
1573890395,-7.812,4.395,-1000,-84.961,-679.199
1573890395,21.973,10.742,-484.375,-6.348,-657.715
1573890395,113.77,16.602,-957.52,201.66,553.711
1573890395,103.027,21.973,851.562,165.039,721.191
1573890395,7.324,21.973,-648.926,-59.082,-468.262
1573890395,-11.719,13.672,-972.656,-83.008,-858.887
1573890395,87.402,13.184,485.84,141.602,190.43
1573890395,123.047,24.902,-838.867,205.078,899.902
1573890395,32.227,28.32,-123.535,-10.254,-118.652
1573890395,-17.09,26.855,-1000,-110.84,-847.656
1573890395,64.453,29.785,-58.594,86.426,-157.715
1573890395,130.371,32.715,-763.672,221.191,930.664
1573890395,61.035,37.598,248.047,47.363,263.184
1573890395,-19.531,34.18,-1000,-130.859,-787.598
1573890395,35.645,34.668,-321.289,3.906,-455.078
1573890395,127.441,39.062,-822.754,200.684,765.625
1573890395,87.891,34.668,514.16,105.957,564.941
1573890395,-8.789,36.621,-1000,-99.121,-534.668
1573890395,14.648,44.922,-663.574,-36.621,-635.254
1573890395,116.211,50.781,882.812,183.594,467.773
1573890395,100.586,38.086,922.852,161.133,766.602
1573890395,-2.441,20.996,-553.711,-71.289,-381.348
1573890395,-10.742,23.438,-1000,-100.098,-830.078
1573890395,88.379,41.992,279.297,124.023,129.395
1573890395,124.023,41.992,-802.246,194.336,935.059
1573890395,31.738,32.227,15.625,-14.648,-2.441
1573890395,-26.367,31.25,-1000,-123.047,-843.262
1573890395,56.152,27.832,-172.852,65.43,-260.254
1573890395,130.371,31.738,-777.832,207.52,910.156
1573890395,56.152,35.645,276.367,49.316,363.281
1573890395,-33.691,33.203,-1000,-131.348,-729.98
1573890395,19.043,40.039,-377.93,-8.301,-501.465
1573890395,115.234,29.297,-857.91,189.453,694.336
1573890395,91.309,13.184,583.496,111.816,635.254
1573890395,0,32.227,-965.332,-92.773,-471.191
1573890395,10.742,49.316,-768.555,-57.617,-656.25
1573890395,108.398,32.715,761.23,165.039,410.156
1573890395,114.258,21.484,988.281,169.922,809.082
1573890395,6.348,26.367,-456.055,-60.059,-277.832
1573890395,-21.484,19.043,-1000,-114.258,-861.816
1573890395,84.961,22.949,136.719,105.957,6.348
1573890395,120.117,24.902,-780.273,198.73,967.285
1573890395,15.625,20.996,80.566,-6.348,61.035
1573890395,-40.527,25.879,-1000,-137.695,-817.383
1573890395,41.992,23.926,-183.105,36.133,-272.949
1573890395,112.793,28.32,-775.391,198.73,874.512
1573890395,60.547,37.109,301.27,67.383,432.617
1573890395,-26.855,27.832,-1000,-113.77,-657.227
1573890395,6.836,21.973,-439.941,-19.043,-548.34
1573890395,103.027,30.273,-902.832,185.547,632.812
1573890395,86.914,39.551,638.184,133.301,667.48
1573890395,-18.066,39.062,-893.066,-97.656,-513.184
1573890395,-27.832,29.785,-896.484,-87.402,-799.805
1573890395,85.449,31.25,604.98,146.973,295.898
1573890395,107.422,36.621,-976.074,169.922,849.609
1573890395,-2.93,36.133,-390.625,-59.082,-229.492
1573890395,-32.227,34.18,-1000,-125.488,-838.867
1573890395,61.523,40.039,-0.488,80.566,-24.902
1573890395,114.258,50.293,-773.926,188.477,959.473
1573890395,40.039,41.504,174.316,8.301,179.199
1573890395,-40.039,30.762,-1000,-137.695,-755.859
1573890395,22.949,29.785,-238.77,17.09,-335.449
1573890395,109.863,39.551,-787.598,199.219,829.102
1573890395,55.664,43.457,373.535,78.125,498.047
1573890395,-44.434,39.062,-1000,-120.605,-603.027
1573890395,-18.066,35.645,-597.168,-43.457,-602.539
1573890395,80.078,22.949,929.688,157.715,538.574
1573890395,75.684,24.414,837.891,122.559,723.633
1573890395,-28.32,25.879,-697.266,-97.168,-385.742
1573890395,-35.645,22.949,-978.027,-97.168,-761.719
1573890395,62.5,37.109,462.891,131.836,232.422
1573890395,88.867,47.363,-834.961,181.641,887.695
1573890395,3.906,34.18,-99.609,-28.809,-102.051
1573890395,-51.27,26.367,-1000,-125.977,-813.477
1573890395,29.297,27.344,-72.754,61.035,-136.23
1573890395,98.145,29.785,-766.113,190.918,947.266
1573890395,20.508,29.785,204.59,20.508,268.066
1573890395,-57.617,18.555,-1000,-142.09,-741.211
1573890395,6.348,16.113,-271.973,3.906,-436.523
1573890395,85.449,25.879,-802.734,190.43,763.672
1573890395,41.504,22.949,477.051,83.496,536.621
1573890395,-45.898,23.926,-1000,-123.047,-589.355
1573890395,-17.578,33.203,-563.965,-56.641,-615.723
1573890395,86.426,30.762,978.516,167.969,501.465
1573890395,84.473,25.879,876.953,155.762,789.062
1573890395,-15.137,25.391,-602.539,-69.824,-288.574
1573890395,-22.949,20.508,-1000,-99.609,-765.137
1573890395,84.961,20.996,323.242,124.512,150.391
1573890395,124.512,29.297,-825.684,193.848,908.203
1573890395,38.574,34.18,-78.125,-11.719,-7.812
1573890395,-19.043,32.715,-1000,-119.629,-820.801
1573890395,55.664,32.715,-119.141,65.918,-235.84
1573890395,124.023,37.109,-771.973,202.148,920.898
1573890395,54.199,30.762,264.16,44.434,295.41
1573890395,-33.691,16.602,-1000,-120.605,-742.676
1573890395,15.137,18.555,-360.84,-7.324,-480.957
1573890395,107.422,31.25,-842.285,188.965,698.242
1573890395,79.59,40.527,527.344,113.77,595.215
1573890395,-20.02,41.504,-990.723,-103.027,-555.176
1573890395,-14.16,39.551,-822.266,-60.059,-714.355
1573890395,90.82,43.945,674.805,164.062,378.906
1573890395,102.051,44.922,-988.77,165.527,810.059
1573890395,-18.066,33.203,-419.922,-66.895,-276.367
1573890395,-51.27,22.949,-1000,-122.559,-812.012
1573890395,55.664,20.508,72.266,94.727,43.457
1573890395,98.145,21.484,-782.227,184.082,932.129
1573890395,7.812,22.949,110.352,-12.207,89.844
1573890395,-51.27,16.602,-1000,-137.695,-754.395
1573890395,24.902,21.484,-185.547,33.691,-250
1573890395,99.609,37.109,-775.879,187.012,877.93
1573890395,37.109,31.738,290.039,46.875,393.066
1573890395,-51.758,21.973,-1000,-140.137,-685.547
1573890395,-6.348,22.461,-463.379,-41.992,-485.84
1573890395,93.75,36.133,-911.621,160.645,664.062
1573890395,75.684,45.41,626.953,100.098,668.945
1573890395,-24.902,40.039,-928.223,-114.746,-457.031
1573890395,-24.414,33.203,-849.609,-93.75,-730.957
1573890395,77.637,33.203,629.395,132.812,329.102
1573890395,92.773,44.922,-911.621,160.645,858.887
1573890395,-10.254,34.668,-279.297,-60.547,-167.48
1573890395,-44.434,25.391,-1000,-129.395,-804.199
1573890395,55.664,39.062,43.457,75.195,-29.297
1573890395,115.723,47.363,-773.438,183.594,939.453
1573890395,32.227,42.48,124.023,1.953,129.395
1573890395,-41.504,37.109,-1000,-138.184,-784.668
